                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8459,                 3.2583,                 3.5406,                0.00194,                0.30964,                0.00209,                0.00064,                 3.5606,                 3.3693,                 3.4634,              0.0033267,              0.0033267,              0.0033267
                      2,                 2.8045,                 2.9195,                 2.6102,                0.22905,                0.03873,                0.00829,                0.00239,                 2.9486,                 3.3565,                 3.1187,              0.0066381,              0.0066381,              0.0066381
                      3,                 2.3399,                 2.5158,                 2.2277,                0.26628,                0.07639,                 0.0309,                0.00961,                 2.9928,                 3.2986,                 3.6437,              0.0099274,              0.0099274,              0.0099274
                      4,                 2.1422,                 2.2787,                 2.0474,                 0.3874,                0.18901,                0.12122,                0.04849,                 2.3485,                 2.4388,                 2.4509,               0.009901,               0.009901,               0.009901
                      5,                 2.0261,                 2.1665,                 1.9221,                0.39749,                 0.1854,                0.12309,                0.04844,                 2.3896,                 2.4858,                 2.4797,               0.009868,               0.009868,               0.009868
                      6,                 1.9583,                 2.1043,                 1.8564,                0.48054,                0.22273,                0.18888,                0.07912,                 2.0741,                 2.2361,                 2.1512,               0.009835,               0.009835,               0.009835
                      7,                 1.8941,                 2.0428,                 1.8193,                0.45967,                0.26021,                0.21308,                0.09996,                 2.0459,                 2.1008,                 2.1443,               0.009802,               0.009802,               0.009802
                      8,                 1.8631,                 1.9918,                 1.7816,                0.47812,                0.27642,                0.23163,                0.11063,                  1.994,                 2.0497,                 2.0755,               0.009769,               0.009769,               0.009769
                      9,                  1.812,                 1.9424,                 1.7532,                0.50374,                0.31548,                0.26318,                0.12842,                  1.976,                 1.9883,                 2.0522,               0.009736,               0.009736,               0.009736
                     10,                  1.798,                  1.908,                 1.7348,                0.53362,                0.31321,                0.28075,                0.13622,                 1.9865,                 1.9393,                  2.065,               0.009703,               0.009703,               0.009703
                     11,                 1.7645,                 1.8842,                 1.7191,                0.53248,                0.28124,                 0.2719,                0.13426,                 1.9504,                  1.975,                 1.9855,                0.00967,                0.00967,                0.00967
                     12,                 1.7502,                 1.8423,                 1.6919,                 0.5776,                0.31002,                0.32092,                0.15685,                 1.8756,                  1.902,                 1.9385,               0.009637,               0.009637,               0.009637
                     13,                 1.7168,                 1.8062,                 1.6813,                0.37166,                0.33086,                0.31818,                0.16386,                 1.8715,                 1.8838,                 1.9416,               0.009604,               0.009604,               0.009604
                     14,                 1.7227,                 1.8022,                  1.679,                0.55699,                0.33294,                 0.3122,                0.16204,                 1.8661,                 1.8828,                 1.9155,               0.009571,               0.009571,               0.009571
                     15,                 1.6918,                 1.7612,                  1.662,                0.57426,                0.32429,                0.31052,                0.15922,                 1.7831,                 1.8492,                 1.8588,               0.009538,               0.009538,               0.009538
                     16,                 1.6785,                 1.7542,                 1.6504,                0.36827,                0.35269,                0.33219,                0.17284,                 1.8414,                 1.8092,                 1.8762,               0.009505,               0.009505,               0.009505
