                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9032,                 4.1968,                 4.0166,                0.20585,                0.05735,                0.00271,                0.00056,                 4.1064,                 3.7867,                 3.6656,              0.0033267,              0.0033267,              0.0033267
                      2,                 2.9507,                 3.5499,                 3.1081,                0.23951,                  0.086,                0.01459,                0.00405,                 3.2588,                 3.8655,                   2.81,              0.0066381,              0.0066381,              0.0066381
                      3,                 2.5096,                 3.0737,                 2.6549,                0.28113,                0.08378,                0.03184,                0.00895,                 3.1221,                 3.4914,                 2.6534,              0.0099274,              0.0099274,              0.0099274
                      4,                 2.3285,                 2.8657,                 2.4561,                0.19411,                0.13226,                0.05205,                0.01442,                 2.9018,                 2.9393,                 2.4562,               0.009901,               0.009901,               0.009901
                      5,                 2.2012,                 2.6925,                  2.335,                0.37629,                 0.1523,                0.09821,                0.03207,                  2.769,                 2.6711,                 2.2583,               0.009868,               0.009868,               0.009868
                      6,                 2.1482,                 2.6029,                  2.259,                0.32511,                0.16923,                0.08295,                0.02805,                  2.738,                 2.6657,                  2.274,               0.009835,               0.009835,               0.009835
                      7,                 2.1053,                 2.5421,                 2.2191,                0.36749,                0.19605,                0.11006,                0.03947,                 2.6798,                 2.5227,                 2.1652,               0.009802,               0.009802,               0.009802
                      8,                 2.0791,                  2.475,                 2.1817,                0.33581,                0.21566,                0.10732,                0.03733,                 2.6995,                 2.4788,                 2.2205,               0.009769,               0.009769,               0.009769
                      9,                 2.0545,                 2.4123,                 2.1549,                0.36907,                 0.1916,                0.10842,                0.03642,                 2.6779,                 2.4428,                 2.2503,               0.009736,               0.009736,               0.009736
                     10,                 2.0213,                 2.3705,                 2.1202,                0.39232,                0.22646,                0.15425,                0.05629,                 2.6005,                 2.3701,                  2.093,               0.009703,               0.009703,               0.009703
                     11,                 2.0017,                 2.3289,                 2.1045,                0.41587,                0.21107,                0.15396,                0.05539,                 2.6155,                 2.3428,                 2.0981,                0.00967,                0.00967,                0.00967
                     12,                 1.9913,                 2.2768,                 2.0819,                0.22367,                0.26738,                0.15124,                0.05555,                 2.5861,                 2.4015,                 2.0665,               0.009637,               0.009637,               0.009637
                     13,                 1.9688,                 2.2414,                 2.0467,                0.41452,                0.25986,                0.18614,                0.06857,                 2.5759,                 2.2239,                 2.0563,               0.009604,               0.009604,               0.009604
                     14,                 1.9641,                 2.2422,                 2.0534,                0.45643,                0.26079,                 0.1929,                0.07829,                 2.5486,                 2.2253,                 2.0337,               0.009571,               0.009571,               0.009571
                     15,                 1.9422,                 2.1834,                 2.0413,                0.38901,                 0.2483,                 0.1647,                0.06266,                 2.5335,                 2.3033,                 1.9832,               0.009538,               0.009538,               0.009538
                     16,                 1.9274,                  2.163,                 2.0149,                0.29807,                  0.317,                0.20519,                0.07962,                 2.5226,                 2.1518,                 1.9716,               0.009505,               0.009505,               0.009505
                     17,                 1.9177,                 2.1322,                 2.0203,                0.37738,                 0.2857,                0.22268,                0.08834,                 2.4995,                 2.0927,                 1.9317,               0.009472,               0.009472,               0.009472
                     18,                 1.9251,                 2.1036,                 1.9973,                0.30798,                0.32077,                0.23806,                0.10046,                 2.4589,                 2.0759,                 1.9355,               0.009439,               0.009439,               0.009439
                     19,                 1.9046,                 2.0873,                 1.9894,                0.38803,                0.28412,                0.23712,                0.09605,                 2.5041,                 2.0629,                 1.9278,               0.009406,               0.009406,               0.009406
                     20,                 1.9079,                 2.0726,                 1.9655,                0.36978,                0.29263,                0.23374,                 0.0968,                 2.5008,                 2.0571,                 1.9784,               0.009373,               0.009373,               0.009373
                     21,                 1.8773,                 2.0163,                 1.9716,                0.29623,                0.29861,                0.21434,                0.08381,                 2.4629,                 2.0367,                 1.9593,                0.00934,                0.00934,                0.00934
                     22,                 1.8783,                 2.0319,                 1.9698,                0.43275,                0.32002,                0.23973,                0.09743,                 2.4527,                 1.9855,                 1.9268,               0.009307,               0.009307,               0.009307
                     23,                 1.8663,                  1.996,                 1.9508,                0.37413,                0.33309,                0.25584,                0.09998,                 2.4594,                  1.964,                 1.8976,               0.009274,               0.009274,               0.009274
                     24,                 1.8575,                 1.9919,                  1.946,                0.41906,                0.29959,                0.26464,                0.10768,                 2.4036,                 1.9418,                 1.8979,               0.009241,               0.009241,               0.009241
                     25,                 1.8536,                 1.9673,                 1.9396,                0.41526,                 0.3555,                 0.2865,                0.11884,                  2.431,                 1.8887,                 1.8888,               0.009208,               0.009208,               0.009208
                     26,                 1.8364,                 1.9368,                  1.931,                0.37762,                0.34055,                 0.2906,                0.12745,                 2.4064,                 1.9085,                 1.8691,               0.009175,               0.009175,               0.009175
                     27,                  1.843,                 1.9216,                 1.9187,                0.34298,                0.33989,                0.26869,                0.11821,                 2.4189,                 1.9206,                 1.8491,               0.009142,               0.009142,               0.009142
                     28,                 1.8261,                 1.8979,                 1.9083,                0.40737,                0.34464,                0.31354,                0.13701,                 2.3906,                 1.8489,                 1.8364,               0.009109,               0.009109,               0.009109
                     29,                 1.8171,                 1.8817,                 1.9053,                0.40804,                0.33688,                0.28882,                0.12807,                 2.3758,                 1.8494,                 1.8512,               0.009076,               0.009076,               0.009076
                     30,                 1.8078,                 1.8561,                 1.8992,                0.38939,                 0.3623,                0.30028,                0.13038,                 2.3755,                 1.8181,                 1.8183,               0.009043,               0.009043,               0.009043
                     31,                 1.7944,                 1.8281,                 1.8956,                0.44148,                0.34577,                0.32398,                0.14503,                 2.3992,                 1.7643,                 1.8317,                0.00901,                0.00901,                0.00901
                     32,                 1.8125,                 1.8319,                 1.8819,                0.42353,                0.36243,                 0.3334,                0.14947,                 2.3617,                 1.7586,                 1.8103,               0.008977,               0.008977,               0.008977
                     33,                 1.7751,                 1.8038,                  1.875,                0.41401,                0.39321,                0.33768,                0.15061,                 2.3474,                 1.7342,                 1.8125,               0.008944,               0.008944,               0.008944
