                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3628,                 4.3734,                 4.2014,                 0.0026,                0.37866,                0.00567,                0.00155,                 3.1644,                 4.0151,                 4.2001,              0.0033267,              0.0033267,              0.0033267
                      2,                 2.8428,                  3.985,                 3.4638,                0.00373,                0.45283,                0.01258,                0.00393,                 2.7173,                 3.9484,                 3.3171,              0.0066381,              0.0066381,              0.0066381
                      3,                 2.3062,                 3.4407,                 2.7801,                0.34762,                0.10279,                0.06167,                0.02108,                 2.3994,                 3.4615,                 2.9535,              0.0099274,              0.0099274,              0.0099274
                      4,                 2.0543,                 3.0548,                 2.5071,                0.37121,                0.17535,                0.10893,                0.04643,                 2.1965,                 2.9882,                  2.729,               0.009901,               0.009901,               0.009901
                      5,                 1.9094,                 2.8389,                 2.3692,                0.38567,                0.19028,                0.11825,                0.04912,                 2.1185,                 3.0307,                 2.6435,               0.009868,               0.009868,               0.009868
                      6,                 1.8381,                 2.7188,                 2.2943,                0.43195,                 0.2122,                0.17816,                0.07718,                 2.0217,                 2.6469,                 2.5457,               0.009835,               0.009835,               0.009835
                      7,                 1.7788,                 2.6311,                 2.2294,                0.42689,                0.27032,                0.19031,                0.08948,                 1.9621,                 2.5777,                  2.433,               0.009802,               0.009802,               0.009802
                      8,                 1.7346,                 2.5517,                 2.1784,                0.46665,                0.29457,                0.22829,                0.11186,                 1.8798,                 2.4176,                 2.3459,               0.009769,               0.009769,               0.009769
                      9,                 1.7034,                 2.4796,                 2.1429,                0.50588,                0.30814,                0.25019,                0.12177,                 1.8522,                 2.4089,                 2.3293,               0.009736,               0.009736,               0.009736
                     10,                 1.6727,                 2.4325,                 2.1124,                0.51683,                0.31688,                0.28621,                0.13782,                 1.8235,                 2.2528,                 2.2707,               0.009703,               0.009703,               0.009703
                     11,                 1.6523,                 2.3935,                 2.0956,                0.53566,                0.33422,                0.31957,                0.16271,                 1.7682,                 2.2078,                 2.2336,                0.00967,                0.00967,                0.00967
                     12,                 1.6396,                 2.3349,                 2.0702,                 0.5169,                0.33258,                0.29538,                0.14726,                 1.7884,                 2.2715,                  2.259,               0.009637,               0.009637,               0.009637
