               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.7604,              3.0414,              1.8651,             0.46991,             0.25765,              0.2137,             0.10315,              1.8226,              2.4245,              2.1602,            0.070079,           0.0033245,           0.0033245
                   1,              1.7085,              2.5002,              1.8023,             0.39866,             0.22298,             0.15928,            0.065368,              2.0152,                2.74,              2.3515,            0.040057,           0.0066359,           0.0066359
                   2,              1.8542,              2.6851,              1.9422,             0.26526,            0.074658,             0.02945,           0.0092035,              2.4652,              3.9701,              3.0631,            0.010013,           0.0099253,           0.0099253
                   3,               1.966,              2.8736,                2.06,              0.3502,             0.18922,             0.11052,            0.044126,              2.1609,              2.9733,              2.5121,            0.009901,            0.009901,            0.009901
                   4,               1.913,              2.8504,              2.0244,             0.36528,             0.20712,             0.11777,            0.050002,              2.1258,              2.8592,              2.4512,            0.009901,            0.009901,            0.009901
                   5,              1.8578,              2.7462,              1.9829,             0.43413,             0.23495,             0.17095,            0.076395,              2.0625,              2.6332,              2.3928,            0.009868,            0.009868,            0.009868
                   6,              1.8214,              2.6796,              1.9614,             0.45199,             0.24797,             0.19639,            0.082937,              2.0163,              2.5808,              2.3151,            0.009835,            0.009835,            0.009835
                   7,              1.7947,              2.6502,              1.9309,             0.44311,             0.24557,             0.18871,             0.08799,              1.9202,              2.5261,              2.2493,            0.009802,            0.009802,            0.009802
                   8,              1.7831,               2.585,              1.9187,             0.46732,             0.26445,             0.20977,               0.103,              1.9361,              2.4916,              2.2871,            0.009769,            0.009769,            0.009769
                   9,              1.7519,              2.5596,              1.8984,             0.49737,             0.30266,             0.27202,             0.13704,               1.855,              2.3492,              2.1718,            0.009736,            0.009736,            0.009736
                  10,              1.7285,              2.5116,              1.8716,              0.3669,             0.30763,             0.25018,               0.121,              1.8752,              2.3217,               2.207,            0.009703,            0.009703,            0.009703
                  11,              1.7093,              2.4833,              1.8608,             0.52574,              0.3497,             0.30085,             0.15642,              1.8074,              2.2193,              2.1268,             0.00967,             0.00967,             0.00967
                  12,              1.6952,              2.4333,              1.8283,             0.40204,             0.34222,             0.31404,             0.15834,              1.7939,              2.1501,              2.1198,            0.009637,            0.009637,            0.009637
                  13,              1.6849,              2.4013,              1.8305,             0.35552,             0.32634,             0.31213,             0.16257,              1.7397,              2.1641,               2.047,            0.009604,            0.009604,            0.009604
                  14,              1.6724,              2.3827,              1.8193,             0.37974,             0.33564,             0.30614,             0.15729,              1.8235,              2.2689,              2.1542,            0.009571,            0.009571,            0.009571
                  15,              1.6665,              2.3685,              1.8203,             0.56373,             0.37556,             0.35187,             0.18237,              1.7449,              2.0615,              2.0449,            0.009538,            0.009538,            0.009538
                  16,              1.6438,              2.3344,               1.816,             0.42541,              0.3381,             0.28921,             0.15077,              1.7405,              2.2305,              2.0823,            0.009505,            0.009505,            0.009505
                  17,              1.6304,              2.3199,               1.802,             0.36169,             0.35422,             0.31378,             0.15967,              1.7019,              2.0968,              2.0407,            0.009472,            0.009472,            0.009472
                  18,              1.6278,              2.2718,              1.7828,              0.3323,             0.29283,             0.23735,             0.11677,              1.8486,              2.3597,               2.181,            0.009439,            0.009439,            0.009439
                  19,              1.6115,              2.2616,              1.7903,             0.44099,             0.39594,             0.36045,             0.19249,              1.6632,              1.9697,              1.9942,            0.009406,            0.009406,            0.009406
                  20,              1.6093,              2.2734,              1.7835,              0.4017,             0.40657,              0.3731,             0.20107,              1.6738,              1.9715,              2.0177,            0.009373,            0.009373,            0.009373
                  21,              1.5854,              2.2003,              1.7564,             0.44305,             0.41271,             0.39801,             0.22489,              1.6541,              1.9446,              1.9643,             0.00934,             0.00934,             0.00934
                  22,              1.6032,              2.2107,              1.7644,             0.40078,               0.392,             0.35676,              0.1902,              1.6603,              1.9699,              1.9925,            0.009307,            0.009307,            0.009307
                  23,               1.575,               2.182,              1.7514,              0.4254,             0.43281,             0.39743,             0.21506,              1.6054,              1.8597,              1.9357,            0.009274,            0.009274,            0.009274
                  24,               1.572,              2.1785,              1.7507,             0.48182,             0.45468,             0.42202,             0.22615,              1.6054,              1.8194,              1.9182,            0.009241,            0.009241,            0.009241
                  25,              1.5668,              2.1476,              1.7402,             0.48942,             0.43419,             0.41665,             0.23494,              1.6099,              1.8776,              1.9218,            0.009208,            0.009208,            0.009208
                  26,              1.5537,              2.1187,              1.7209,             0.41734,             0.43814,             0.40023,             0.22769,              1.5978,               1.898,              1.9204,            0.009175,            0.009175,            0.009175
                  27,              1.5646,              2.1306,              1.7327,             0.45801,             0.45888,             0.42194,             0.23217,              1.5733,              1.8087,              1.9011,            0.009142,            0.009142,            0.009142
